order_id;channel;order_date;notes;selling_price;quantity;Revenue
;tokopedia  ;November 27, 2025;;IDR 79,000.00;1;IDR 79,000.00
;tokopedia  ;December 1, 2025;;IDR 38,000.00;1;IDR 38,000.00
;tokopedia  ;December 21, 2025;;IDR 40,000.00;1;IDR 40,000.00
;tokopedia  ;December 21, 2025;;IDR 40,000.00;1;IDR 40,000.00
;offline;December 5, 2025;buat photo shoot;IDR 0.00;1;IDR 0.00
;tokopedia  ;December 31, 2025;buat kuku;IDR 0.00;;IDR 0.00
