order_id;channel;order_date;notes;selling_price;quantity;Revenue
;tokopedia  ;August 8, 2025;;IDR 146,000.00;1;IDR 146,000.00
;tokopedia  ;August 15, 2025;;IDR 144,000.00;1;IDR 144,000.00
;shopee;August 2, 2025;Affiliate;IDR 91,000.00;1;IDR 91,000.00
;tokopedia  ;August 20, 2025;;IDR 165,000.00;1;IDR 165,000.00
