order_id;channel;order_date;notes;selling_price;quantity;Revenue
;tokopedia  ;December 27, 2025;;IDR 153,000.00;1;IDR 153,000.00
;tokopedia  ;December 28, 2025;;IDR 152,000.00;1;IDR 152,000.00
;tiktok   ;December 30, 2025;;IDR 160,000.00;1;IDR 160,000.00
;offline;December 31, 2025;Kuku;IDR 0.00;1;IDR 0.00
;tiktok   ;January 1, 2026;;IDR 160,000.00;1;IDR 160,000.00
